timestamp,tweet_text,username,all_hashtags
2019-03-14 15:25:01,"Rumour has it, if your social media was down yesterday, you're actually ugly. Idk, probably just a rumour #FacebookDown #instagramdown",LionsFearNothin,"['FacebookDown', 'instagramdown']"
2019-03-14 15:24:39,"#FacebookDown #instagramdown   Now that i have your attention, THIS IS WHAT Y'ALL FUCKERS GET FOR USING FACEBOOK AND INSTAGRAM",LunaSalt1234,"['FacebookDown', 'instagramdown']"
2019-03-14 15:24:35,"Facebook has denied that their extensive downtime was due to a DDoS attack, but we're no closer to understanding the cause of the problems... #FacebookDown #facebookoutage #instagramdown #instagramblackout https://t.co/tMp2htkl5l",PCReviewUK,"['FacebookDown', 'facebookoutage', 'instagramdown', 'instagramblackout']"
2019-03-14 15:19:19,#WhatsAppDown  #FacebookDown  #InstagramDown  but ...  #Twitter AMAN,_onco_,"['WhatsAppDown', 'FacebookDown', 'InstagramDown', 'Twitter']"
2019-03-14 15:18:51,This made my day!  #facebook #Instagram #facebookdown #instagramdown #MySpace #goodoldtom @ Old Timey Casting https://t.co/JUdMJZUbjW,guywgane3,"['facebook', 'Instagram', 'facebookdown', 'instagramdown', 'MySpace', 'goodoldtom']"
2019-03-14 15:18:39,Manggggg my ol lady was actin like an crack addict when insta was down #instagram #instagramdown #FacebookDown,conbry,"['instagram', 'instagramdown', 'FacebookDown']"
2019-03-14 15:17:04,How the @Shareablee crew reacted to yesterday's dual-platform blackout. https://t.co/n4RmXw3JHO #FacebookDown #instagramdown #socialmedia,MichaelPKrebs,"['FacebookDown', 'instagramdown', 'socialmedia']"
2019-03-14 15:15:06,When you realise you and your friend don't have any issues on Facebook and Instagram #facebookdown #instagramdown https://t.co/73tNelkhMi,CgShyam,"['facebookdown', 'instagramdown']"
2019-03-14 15:15:02,"Quote of the day: ""#Instagram crashed? This could be the millennial Great Depression, a dust bowl for influencers.""  #FacebookDown #facebookoutage #instagramdown",michielwil,"['Instagram', 'FacebookDown', 'facebookoutage', 'instagramdown']"
2019-03-14 15:14:49,"😊 HAPPY POST HUMPDAY 🍑  …………………………………… Tried to post this yesterday but with #facebookdown #instagramdown, I THOUGHT 💭 I was hacked  I PANICKED, tried to change my 📲 passwords, could not… https://t.co/c1d6lnefOc",AllisonEthier,"['facebookdown', 'instagramdown']"
2019-03-14 15:13:30,Now that Instagram is working again I wanted to take a look at some updates and eye ... that's not it #instagramdown #facebookdown #BTSxSNL #BTS #방탄소년단 @BTS_twt @ygofficialblink https://t.co/bSw0NJ44ee,nesrine_sth,"['instagramdown', 'facebookdown', 'BTSxSNL', 'BTS', '방탄소년단']"
2019-03-14 15:12:30,Twitter is hilarious with all the #FacebookDown #instagramdown memes I am loving it. ☕️ 🐸,EstieSanchez,"['FacebookDown', 'instagramdown']"
